n,k,ln(n),gc_fraction,above_threshold
1024,4.0,6.931471805599453,0.45443359375,False
1024,4.01,6.931471805599453,0.465859375,False
1024,4.02,6.931471805599453,0.46779296875,False
1024,4.03,6.931471805599453,0.48609375,False
1024,4.04,6.931471805599453,0.49484375,False
1024,4.05,6.931471805599453,0.506015625,False
1024,4.06,6.931471805599453,0.518359375,False
1024,4.07,6.931471805599453,0.5217578125,False
1024,4.08,6.931471805599453,0.52701171875,False
1024,4.09,6.931471805599453,0.53818359375,False
1024,4.1,6.931471805599453,0.538828125,False
1024,4.11,6.931471805599453,0.5443359375,False
1024,4.12,6.931471805599453,0.55283203125,False
1024,4.13,6.931471805599453,0.562734375,False
1024,4.14,6.931471805599453,0.5708203125,False
1024,4.15,6.931471805599453,0.58078125,False
1024,4.16,6.931471805599453,0.58162109375,False
1024,4.17,6.931471805599453,0.58458984375,False
1024,4.18,6.931471805599453,0.59126953125,False
1024,4.19,6.931471805599453,0.59453125,False
1024,4.2,6.931471805599453,0.599140625,False
1024,4.21,6.931471805599453,0.6061328125,False
1024,4.22,6.931471805599453,0.6123828125,False
1024,4.23,6.931471805599453,0.61421875,False
1024,4.24,6.931471805599453,0.625234375,False
1024,4.25,6.931471805599453,0.6330078125,False
1024,4.26,6.931471805599453,0.64564453125,False
1024,4.27,6.931471805599453,0.64693359375,False
1024,4.28,6.931471805599453,0.65734375,False
1024,4.29,6.931471805599453,0.66298828125,False
1024,4.3,6.931471805599453,0.668359375,False
1024,4.31,6.931471805599453,0.6785546875,False
1024,4.32,6.931471805599453,0.68392578125,False
1024,4.33,6.931471805599453,0.694453125,False
1024,4.34,6.931471805599453,0.69576171875,False
1024,4.35,6.931471805599453,0.709296875,False
1024,4.36,6.931471805599453,0.715390625,False
1024,4.37,6.931471805599453,0.71744140625,False
1024,4.38,6.931471805599453,0.726875,False
1024,4.39,6.931471805599453,0.72833984375,False
1024,4.4,6.931471805599453,0.7315234375,False
1024,4.41,6.931471805599453,0.75001953125,False
1024,4.42,6.931471805599453,0.75271484375,False
1024,4.43,6.931471805599453,0.75544921875,False
1024,4.44,6.931471805599453,0.75642578125,False
1024,4.45,6.931471805599453,0.76435546875,False
1024,4.46,6.931471805599453,0.76712890625,False
1024,4.47,6.931471805599453,0.7728125,False
1024,4.48,6.931471805599453,0.7758984375,False
1024,4.49,6.931471805599453,0.7781640625,False
1024,4.5,6.931471805599453,0.785234375,False
1024,4.51,6.931471805599453,0.78763671875,False
1024,4.52,6.931471805599453,0.801875,False
1024,4.53,6.931471805599453,0.804453125,False
1024,4.54,6.931471805599453,0.81060546875,False
1024,4.55,6.931471805599453,0.814609375,False
1024,4.56,6.931471805599453,0.824140625,False
1024,4.57,6.931471805599453,0.82724609375,False
1024,4.58,6.931471805599453,0.8312109375,False
1024,4.59,6.931471805599453,0.84560546875,False
1024,4.6,6.931471805599453,0.84828125,False
1024,4.61,6.931471805599453,0.852265625,False
1024,4.62,6.931471805599453,0.86373046875,False
1024,4.63,6.931471805599453,0.86708984375,False
1024,4.64,6.931471805599453,0.872109375,False
1024,4.65,6.931471805599453,0.87548828125,False
1024,4.66,6.931471805599453,0.87927734375,False
1024,4.67,6.931471805599453,0.88142578125,False
1024,4.68,6.931471805599453,0.884375,False
1024,4.69,6.931471805599453,0.88578125,False
1024,4.7,6.931471805599453,0.89056640625,False
1024,4.71,6.931471805599453,0.8906640625,False
1024,4.72,6.931471805599453,0.89236328125,False
1024,4.73,6.931471805599453,0.894453125,False
1024,4.74,6.931471805599453,0.89482421875,False
1024,4.75,6.931471805599453,0.89662109375,False
1024,4.76,6.931471805599453,0.8998046875,False
1024,4.77,6.931471805599453,0.90056640625,False
1024,4.78,6.931471805599453,0.9020703125,False
1024,4.79,6.931471805599453,0.90291015625,False
1024,4.8,6.931471805599453,0.90453125,False
1024,4.81,6.931471805599453,0.90765625,False
1024,4.82,6.931471805599453,0.908359375,False
1024,4.83,6.931471805599453,0.9153515625,False
1024,4.84,6.931471805599453,0.9166796875,False
1024,4.85,6.931471805599453,0.9241796875,False
1024,4.86,6.931471805599453,0.925,False
1024,4.87,6.931471805599453,0.925859375,False
1024,4.88,6.931471805599453,0.926640625,False
1024,4.89,6.931471805599453,0.927734375,False
