n,k,ln(n),shuffle,r2,above_threshold,coef_dist^2,coef_log(dist),coef_4cos(4theta),coef_invdeg,intercept
512,6,6.238324625039508,0,0.3659524402190868,False,-1.2846290015945603,0.8027313673796719,-0.5571876074212468,2.5812549366443345,1.841317839861756
512,6,6.238324625039508,1,0.31976785913165384,False,-1.3849435028120536,0.8213106222689253,-0.5774847847193182,2.311406066273157,1.9810184611941994
512,6,6.238324625039508,2,0.3252393022180585,False,-1.3388171810053464,0.8297245354976114,-0.48693952448207944,2.630993177882556,1.9019555683634684
512,6,6.238324625039508,3,0.28703717632018166,False,-1.1563734816579436,0.7548893246642951,-0.345558024793441,2.4929751452413718,1.7113791350706549
512,6,6.238324625039508,4,0.3109146941626363,False,-1.3995584260099032,0.8032975302490486,-0.6187511913481251,2.4480610990579703,1.8820960644376972
512,6,6.238324625039508,5,0.33579294595876596,False,-1.247519040958326,0.7993739164533946,-0.5161448458817885,2.409196714270518,1.8897967780556668
512,6,6.238324625039508,6,0.3523224677693081,False,-1.287524879454531,0.83242210916669,-0.44223698965439234,2.6447513460594108,1.898616393226326
512,6,6.238324625039508,7,0.31186456816813823,False,-1.2560735871559685,0.7924320151990613,-0.34680779089770575,2.590716573652592,1.804250850372989
512,6,6.238324625039508,8,0.32929002632216686,False,-1.3576223208538567,0.8410910673913952,-0.6445196806076675,2.5054491742735925,1.972685293917756
512,6,6.238324625039508,9,0.3378452846105521,False,-1.2927868658671573,0.807405775465933,-0.4822824253678926,2.407397938654269,1.9076122831722042
512,6,6.238324625039508,10,0.3608673794131889,False,-1.314360067668514,0.8481933407100848,-0.4328244312313658,2.464772246363584,1.9806832763283992
512,6,6.238324625039508,11,0.32764317092908657,False,-1.3579623177625475,0.8267316022108023,-0.6002795744035437,2.483518765836569,1.9208637767087353
512,6,6.238324625039508,12,0.35142718196757183,False,-1.2698974809882462,0.8246398747359426,-0.47186676198836675,2.496233911759942,1.8900423897153305
512,6,6.238324625039508,13,0.2868713011551002,False,-1.309866600267706,0.7636696392993583,-0.621927193677501,2.3444619167793324,1.8067526815867108
512,6,6.238324625039508,14,0.3738463600697818,False,-1.3652141434156242,0.876719021425357,-0.6242970341727192,2.5111442601806377,2.0586234922264417
512,6,6.238324625039508,15,0.31212619762883076,False,-1.3199810448024492,0.8408468352566146,-0.4087522232002331,2.5332776690780325,1.9463764012912905
512,6,6.238324625039508,16,0.3393651022066029,False,-1.3172320015337522,0.8480671315558769,-0.5030954103760961,2.577984652186029,1.9532019730589125
512,6,6.238324625039508,17,0.3678547192954662,False,-1.311452997175014,0.8034486484841294,-0.6073515722156149,2.5699557367829544,1.8561830658172764
512,6,6.238324625039508,18,0.3146218502419478,False,-1.3566269423139734,0.8115851353451864,-0.629217540171012,2.4510336193458446,1.897399620216485
512,6,6.238324625039508,19,0.3201284032266145,False,-1.3259044194343201,0.8007736435463253,-0.48619890404561766,2.3247752640974477,1.8986330778548641
512,6,6.238324625039508,20,0.3848957449291003,False,-1.2757696702637396,0.8335379049325228,-0.450651650446374,2.5365203821841393,1.9293490914648013
512,6,6.238324625039508,21,0.34301707377316937,False,-1.3113253540530696,0.8198537741508879,-0.5845263468870026,2.547389690057297,1.909337080097741
512,6,6.238324625039508,22,0.38758326357084927,False,-1.348272975822702,0.8294264657829772,-0.5292627247827423,2.52862357649443,1.9247464878331897
512,6,6.238324625039508,23,0.35374961244689995,False,-1.2738582566765024,0.7950575042347527,-0.603217192720821,2.42505994212132,1.873628581451507
512,6,6.238324625039508,24,0.35396509051927294,False,-1.209999021657862,0.7990489399413782,-0.4596574657607761,2.3994526006446266,1.8872187659591524
512,6,6.238324625039508,25,0.313813598081801,False,-1.2725348944062003,0.7856987936948104,-0.613797551070552,2.4320623507245696,1.8395148742419236
512,6,6.238324625039508,26,0.3032526776544838,False,-1.4227310757957705,0.8167861826853561,-0.7281984881005251,2.488475735179784,1.8907082330459164
512,6,6.238324625039508,27,0.3541434742332117,False,-1.4207365205058284,0.8588136704739631,-0.6809473852179335,2.4626750753298348,2.023782338601487
512,6,6.238324625039508,28,0.3266466470940176,False,-1.1548108283555518,0.7738499705258439,-0.4706519377083724,2.3666836513845966,1.8462675590340811
512,6,6.238324625039508,29,0.28434030393393916,False,-1.368677541513846,0.7976647306940162,-0.5831473931950515,2.33867058686723,1.8879225290953427
512,6,6.238324625039508,30,0.3230013039867845,False,-1.3155075364018647,0.8157908969118427,-0.5092668419019859,2.526087218664944,1.8781081239881185
512,6,6.238324625039508,31,0.35780434638989755,False,-1.3431943218972302,0.8336171756357948,-0.5358617001415362,2.4158008803975526,1.9762516017150034
512,6,6.238324625039508,32,0.26999206636736894,False,-1.2079749516867846,0.759294249798676,-0.4977884666646076,2.4608035773270043,1.7609479452279682
512,6,6.238324625039508,33,0.33613243956142114,False,-1.330634769967906,0.8204590019286694,-0.6147768052933699,2.390498757416293,1.9640045661322367
512,6,6.238324625039508,34,0.3590851198047974,False,-1.3892371164782111,0.8589213747361497,-0.6050447557217173,2.4725297477132817,2.023074488506947
512,6,6.238324625039508,35,0.3324037456462887,False,-1.357836685274379,0.8537355886664449,-0.45892169262502625,2.580220951932307,1.975349903294997
512,6,6.238324625039508,36,0.33361974525488547,False,-1.3533482151761353,0.8304877766117498,-0.5649147131422098,2.5127723587176813,1.924572827523715
512,6,6.238324625039508,37,0.34402960000223415,False,-1.545386924713187,0.861390538043437,-0.7414568959814903,2.3927645698347293,2.058465834041915
512,6,6.238324625039508,38,0.3165850485197299,False,-1.3765935738905155,0.8067663769012541,-0.6325238773588528,2.440918203016413,1.9016838462779155
512,6,6.238324625039508,39,0.31328895859898487,False,-1.4220107595432254,0.8166284354026248,-0.6022133253671341,2.416716644644241,1.920425328019788
512,6,6.238324625039508,40,0.2993144184239156,False,-1.3234999720779548,0.8035787197056,-0.4987946050674264,2.397882906906613,1.904744473997937
512,6,6.238324625039508,41,0.34804262579726264,False,-1.36702364005364,0.8295221113246735,-0.5788481307673464,2.4092074770230893,1.9495693960450433
512,6,6.238324625039508,42,0.3427607675967361,False,-1.3541833616745478,0.8318558521342657,-0.6082454842997449,2.531067476414936,1.9324274455639618
512,6,6.238324625039508,43,0.3828446118715607,False,-1.2155784450633107,0.8071324579372582,-0.5777177113980762,2.468335869545892,1.8965746548133202
512,6,6.238324625039508,44,0.3604129274152831,False,-1.4275820027500632,0.8622747009296537,-0.8526589948304091,2.487571016777214,2.0329358183754644
512,6,6.238324625039508,45,0.3415214493352273,False,-1.2235222658267553,0.7935449616000466,-0.594113782923553,2.4850242836185896,1.8571598743308542
512,6,6.238324625039508,46,0.3178745079143802,False,-1.3959382916282719,0.8448057297233079,-0.6637964466451204,2.50149733029418,1.9803627107366164
512,6,6.238324625039508,47,0.2960254272459688,False,-1.5373671845808712,0.8114995454946942,-0.8869858266923986,2.3517942982809736,1.8943864900811886
512,6,6.238324625039508,48,0.37146306674173457,False,-1.1923858619126644,0.810214464413366,-0.41473091620764474,2.4301483331038223,1.9237045336450926
512,6,6.238324625039508,49,0.3215237285492908,False,-1.3387060980308534,0.8511268585454175,-0.6098648100426599,2.5368032642412,1.9938150600380835
512,8,6.238324625039508,0,0.6758345523844891,True,-0.37210370191718745,0.25379026908926655,-0.1089033237460541,1.8238843142117043,0.5310228380677526
512,8,6.238324625039508,1,0.6569497018199122,True,-0.3770474454028338,0.261171209814498,-0.11754363704011145,1.7224018805750099,0.5746521187477371
512,8,6.238324625039508,2,0.654217538679903,True,-0.41379539511887053,0.26213322321178595,-0.14648169543543849,1.8535190705845495,0.548322621664199
512,8,6.238324625039508,3,0.6741607376630336,True,-0.36653324436374674,0.2551983523877922,-0.11454596069639104,1.8587644152360634,0.5245217155407569
512,8,6.238324625039508,4,0.6932684078146703,True,-0.3634536037468444,0.2517009902431712,-0.11110571400077268,1.8034119160075537,0.531520169782701
512,8,6.238324625039508,5,0.6552737477446512,True,-0.42769401013287806,0.26294687253793164,-0.18456918669054068,1.8111800363343065,0.5566570398431695
512,8,6.238324625039508,6,0.633650497714163,True,-0.4064109969304992,0.2598920714670123,-0.14452655531310354,1.8745413759373832,0.5305215582149252
512,8,6.238324625039508,7,0.673299561413773,True,-0.36423464132596645,0.2557907038909398,-0.10876666095194575,1.8484111738997049,0.5312733107787234
512,8,6.238324625039508,8,0.6405852221388133,True,-0.37880686225670385,0.2545897862394854,-0.14166629475218312,1.844138940984808,0.532481673688554
512,8,6.238324625039508,9,0.6813726471792478,True,-0.38069798584462816,0.256945474353995,-0.1311878673033062,1.831063973761927,0.5383426367453794
512,8,6.238324625039508,10,0.6805101795217487,True,-0.3877400938988611,0.2612537816467277,-0.13785591929374155,1.829339769983062,0.5473944468744427
512,8,6.238324625039508,11,0.6728508838743126,True,-0.3668332038271681,0.2556896965453668,-0.09932131603438642,1.855109764973458,0.528204160428168
512,8,6.238324625039508,12,0.6856484518847882,True,-0.36853071340123844,0.25910588862190576,-0.10137019850575389,1.9136789315217497,0.5204488910068179
512,8,6.238324625039508,13,0.6386447475711737,True,-0.3793962032286772,0.25640121541578514,-0.12740242949121539,1.7819433836483718,0.544388832837845
512,8,6.238324625039508,14,0.64988827170487,True,-0.4057213298070024,0.262306433707007,-0.1756667398168981,1.8297275766790821,0.5541775771391604
512,8,6.238324625039508,15,0.6547669153051023,True,-0.42963979615175524,0.26562078980209886,-0.16398325682128678,1.8627685624418433,0.5516548637298151
512,8,6.238324625039508,16,0.6729659246339397,True,-0.40203600492761216,0.26297575712383736,-0.14150678527407567,1.8404798129239324,0.5494772132286656
512,8,6.238324625039508,17,0.63556896561349,True,-0.3933034271534664,0.257606586031664,-0.15040171257497378,1.7688569885520156,0.5557070779593702
512,8,6.238324625039508,18,0.6435333822583662,True,-0.4153627611527636,0.26123598055544295,-0.16766120315448851,1.8344031472068258,0.548035063675671
512,8,6.238324625039508,19,0.6554842299563641,True,-0.35172802025599614,0.24956394110665417,-0.12039228407067537,1.7449055924893813,0.5435132379181333
512,8,6.238324625039508,20,0.6373731708785257,True,-0.37489602777748476,0.25580859537079287,-0.11651204119480778,1.785097938122192,0.5492908918437267
512,8,6.238324625039508,21,0.6403495832591588,True,-0.42193135036294466,0.2577813504528635,-0.18721397853076496,1.7247522803556368,0.5692769639536126
512,8,6.238324625039508,22,0.7120517906753538,True,-0.34359876457937794,0.25410081759308684,-0.06890386018271866,1.8156698323977878,0.5372149532309765
512,8,6.238324625039508,23,0.6537197589761631,True,-0.3982391979155378,0.26086964016931424,-0.17106158794817078,1.759213481757691,0.5624128027187729
512,8,6.238324625039508,24,0.6999296422502534,True,-0.37790409857201546,0.2582203763300926,-0.11627802503934961,1.8250333593577845,0.543444180257574
512,8,6.238324625039508,25,0.6648228506606082,True,-0.3509968267374026,0.2545577815456209,-0.10654105735012176,1.9007735624324424,0.513631520756916
512,8,6.238324625039508,26,0.6718239926003805,True,-0.3655860771055657,0.25391763096444386,-0.12382204890269925,1.8387979397086622,0.5277411256221629
512,8,6.238324625039508,27,0.6722078095552941,True,-0.37457193981344045,0.26093837104861406,-0.11138268344218633,1.8198390260457677,0.5508199487599058
512,8,6.238324625039508,28,0.6597739721773292,True,-0.37958675178874435,0.25489215383798525,-0.1407607098046655,1.7901656147959668,0.54083689316708
512,8,6.238324625039508,29,0.652915536108222,True,-0.39057436473230556,0.2597632038789222,-0.14340030258443542,1.832638152112569,0.5417534629435456
512,8,6.238324625039508,30,0.6211942516329005,True,-0.3823433802067373,0.25493764007891556,-0.12295135668887908,1.7966418328978984,0.5424061789384487
512,8,6.238324625039508,31,0.6806670180328633,True,-0.3782955619869699,0.2635168041774632,-0.11385162370313166,1.7712959715354306,0.5689029617083048
512,8,6.238324625039508,32,0.6708810484243153,True,-0.4046235197850921,0.25910958260016764,-0.16116317282027665,1.8924206882371888,0.5279520949876442
512,8,6.238324625039508,33,0.6308676184747102,True,-0.39448971949784,0.25507417876997523,-0.1695763208049549,1.7816182095283613,0.5445485066634375
512,8,6.238324625039508,34,0.6915022781616333,True,-0.3904412133886625,0.25852674390350694,-0.14807436012889583,1.7684657462427973,0.5596376835334322
512,8,6.238324625039508,35,0.6542110423630576,True,-0.37668917930533063,0.25951950092669956,-0.11371654437416462,1.840561341490346,0.5457364004875749
512,8,6.238324625039508,36,0.6826887725191031,True,-0.3831120270634545,0.2554959368334531,-0.11547513422987746,1.8107451447244713,0.5406498864350007
512,8,6.238324625039508,37,0.662103644392563,True,-0.3932127917249405,0.25864473054710513,-0.14452643212311328,1.7387323041354263,0.5708038084146967
512,8,6.238324625039508,38,0.6682328932075595,True,-0.3979852241103178,0.2627798457627834,-0.12908644597717753,1.7996895414305971,0.559555303557108
512,8,6.238324625039508,39,0.6908206763236421,True,-0.3425158226756313,0.2511491064969949,-0.08506208677361736,1.7950588509186682,0.534714108930616
512,8,6.238324625039508,40,0.620436167368329,True,-0.40237019493882054,0.2616232806389054,-0.13758960839473444,1.7626045749921666,0.5653631036307034
512,8,6.238324625039508,41,0.6768180071764387,True,-0.36128962732691466,0.2570613559863593,-0.10441891679864006,1.8155673176737785,0.5430326322242789
512,8,6.238324625039508,42,0.685002911937233,True,-0.34399116654126377,0.25187288348778014,-0.0773698925939577,1.8051241725770542,0.5363973295967273
512,8,6.238324625039508,43,0.686308808159714,True,-0.3604971339862635,0.25586179357943717,-0.12449172400560658,1.8696539373772691,0.5260997307026332
512,8,6.238324625039508,44,0.6530055427930057,True,-0.3952691544442235,0.260347499526469,-0.15171921966574328,1.8307599974866293,0.5478343408968493
512,8,6.238324625039508,45,0.6446846351983468,True,-0.4348716679629271,0.26227420052385897,-0.18866153367434235,1.8214480762923435,0.5510817585869935
512,8,6.238324625039508,46,0.6301291402523722,True,-0.4068832072656151,0.26166807689044985,-0.16907731474876952,1.8624738367029607,0.5436574347529138
512,8,6.238324625039508,47,0.6730044140991794,True,-0.3552970662702575,0.2529165710077989,-0.10630544854682619,1.8217126858079107,0.5277572406640956
512,8,6.238324625039508,48,0.6462503434636122,True,-0.4229773958741193,0.2644693834631585,-0.1868585887674532,1.7343979997353312,0.5817565888384608
512,8,6.238324625039508,49,0.6748605000144795,True,-0.3827749165523665,0.2587955270537988,-0.12794004223486286,1.897583600114791,0.5258722631099079
512,10,6.238324625039508,0,0.7979994679971939,True,-0.20002671136430616,0.13263655732729002,-0.07454439401129595,1.5527071507563301,0.2635697358184722
512,10,6.238324625039508,1,0.8026276110126266,True,-0.22442075551427113,0.1385192532044188,-0.09375763644929386,1.5123694353548318,0.28509106978046306
512,10,6.238324625039508,2,0.8090034781970041,True,-0.22532191057314338,0.13716891262444522,-0.10352415742829231,1.5655054594381559,0.2717640944855608
512,10,6.238324625039508,3,0.8117748842026771,True,-0.20287950445055491,0.1340335552881884,-0.0720169550493259,1.590636338820809,0.2572285087457524
512,10,6.238324625039508,4,0.7963954616205917,True,-0.20357697280317605,0.13380490246447913,-0.0764073099962264,1.4828806689218954,0.2808810173356616
512,10,6.238324625039508,5,0.8085737810059563,True,-0.2085933304131085,0.13390079038487104,-0.08045556043130331,1.582894119179352,0.25855155924992146
512,10,6.238324625039508,6,0.8214222979546634,True,-0.2009791513315832,0.13298708788286703,-0.08173410128614528,1.5940683067045591,0.25616294985141635
512,10,6.238324625039508,7,0.8045127830038922,True,-0.22718001410009842,0.13827005784233035,-0.10482274148161184,1.6142292563706142,0.262533266631177
512,10,6.238324625039508,8,0.8114261523537162,True,-0.2024138502795974,0.13522693571142821,-0.08465580040622239,1.5563986378087087,0.26920685141201517
512,10,6.238324625039508,9,0.8108864587305789,True,-0.2168199613062617,0.13704947963782246,-0.09016432013215032,1.5789652170991357,0.26750592451224775
512,10,6.238324625039508,10,0.8218076814802193,True,-0.2104455344601418,0.13494688193866683,-0.08991007184066739,1.5423320216176368,0.27043106757312824
512,10,6.238324625039508,11,0.8093378549858622,True,-0.21328169057580693,0.13567221884485695,-0.09258997975431167,1.5282710128993537,0.2769958906282393
512,10,6.238324625039508,12,0.8194675266173278,True,-0.20517492491152908,0.1353790725995302,-0.08263311347317605,1.6151412306126656,0.2579256295669639
512,10,6.238324625039508,13,0.7991376777122638,True,-0.2169128546938076,0.13736433243269147,-0.08710641575375276,1.5701514024131584,0.26981631115698923
512,10,6.238324625039508,14,0.8375850247973179,True,-0.23289198418528376,0.14070523221242764,-0.1073726359275841,1.607753912288744,0.27107148874524234
512,10,6.238324625039508,15,0.8171261327401098,True,-0.22150708914847533,0.1367572108514408,-0.09754376417120955,1.5904504261281762,0.26564481661611716
